"Fecha","Indice_total","Total_Fertilizantes","Total_Plaguicidas","Total_Otros","Total_Simples","Total_Compuestos","Total_Herbicidas","Total_Fungicidas","Total_Insecticidas","Urea 46%","Urea sulfato","DAP 18-46","KCL 0-0-60","SAM","15-15-15","25-4-24","17-6-18-2","18-18-18","31-8-8","12-24-12","13-26-6","15-4-23","10-20-30","28-4-0-6","Glifosato","Paraquat","Propanil","2,4-D + picloram","2,4-D","Aminopiralid + 2,4-D","Diuron","Glufosinato de amonio","Picloram","Oxadiazon","Metsulfuron metil","Pendimetalin","Clorotalonil","Difenoconazol","Mancozeb","Mancozeb + cimoxanil","Azoxistrobin + difenoconazol","Dimetomorf","Tebuconazol + trifloxistrobin","Propineb + fluopicolide","Mancozeb + metalaxil-m","Clorpirifos","Fipronil","Metomil","Tiametoxam + lambdacihalotrina","Abamectina","Imidacloprid","Profenofos + cipermetrina","Cipermetrina","Profenofos","Total_Coadyuvantes","Total_Reguladores","Total_Molusquicidas"
"06/2020","101.92","104.09","97.97",,"106.08","102.54","99.22","96.65","96.39","104.98","107.74","102.7","109.16","104.98","102.32","104.17","100.37","108.65","102.98","103.15","102.03","100.46","99.17","95.5","99.78","98.91","98.61","97.27","98.75","98","97.14","100.52","98.31","99.66","101.71","91.26","97.41","97.1","98","96.26","96.59","93.31","98.15","92.59","97.81","95.43","98.11","94.69","97.76","97.49","96.54","97.24","97.9","92.37","0","0","0"
"05/2020","101.74","104.26","97.17",,"105.97","102.92","98.6","95.27","95.72","105.36","106.9","102.7","109.32","103.16","100.8","105.45","101.08","109.35","103.82","103.92","103.02","100.52","100.94","95.05","98.98","97.98","98.46","96.63","97.62","96.35","94.94","100.99","96.47","98.43","104.97","96.87","96.68","95.48","94.42","95.36","94.57","91.55","98.24","92.92","96.71","93.32","97.16","96.82","97.81","96.62","95.44","95.95","97.22","89.79","0","0","0"
"04/2020","100.43","102.91","95.96",,"104.48","101.67","97.69","94.31","93.61","103.06","104.59","102.95","108.88","101.59","100.28","102.99","98.96","108.02","104.47","103.64","102.83","99.54","100.44","89.88","97.88","96.43","98.74","94.74","96.82","94.59","93.91","99.71","94.88","101.95","102.71","98.36","95.22","94.12","94.84","94.15","93.62","90.16","98.65","92.28","95.21","91.53","94.48","92.23","96.2","94.95","94.81","93.38","97.62","88.87","0","0","0"
"03/2020","96.41","97.81","93.87",,"99.25","96.68","94.71","93.52","92.35","98.34","96.55","100.1","103.02","96.85","96.07","97.93","94.96","100.44","98.42","96.48","96.76","93.76","98.96","89.61","96.95","95.71","96.83","94.35","96.37","92.09","91.8","99.63","94.56","59.76","99.95","89.65","95.18","93.18","92.64","92.64","93.5","89.41","98.22","91.95","94.4","90.07","94.17","88.83","95.75","94.43","95.29","91.61","96.49","86.81","0","0","0"
"02/2020","96.01","97.34","93.6",,"98.68","96.29","94.41","93.56","91.91","97.43","97.28","99.27","101.96","97.28","95.7","97.99","94.6","100.33","97.9","95.53","96.88","92.67","97.57","89.5","96.82","95.51","95.62","94.18","96.39","92.31","91.74","97.04","95.42","60.33","100.33","87.07","94.96","93.32","93.11","92.88","93.17","89.55","98.75","91.92","94.03","89.45","94.02","88.68","95.66","93.98","94.77","90.1","95.59","86.4","0","0","0"
"01/2020","96.18","97.69","93.45",,"99.51","96.27","94.28","93.38","91.72","98.13","100.74","99.75","101.83","97.64","95.1","98.05","94.27","100.5","98.32","96.27","97.09","92.97","97.05","89.57","97.13","95.5","94.3","93.84","96.07","91.92","92.17","97.33","94.87","59.75","100.84","86.33","94.84","93.8","91.82","92.83","92.98","89.72","98.5","92.03","93.46","89.29","94.07","89.07","95.59","93.38","94.64","88.86","94.86","85.82","0","0","0"
"12/2019","96.25","97.77","93.5",,"99.46","96.45","94.55","93.37","91.37","97.69","100.94","100.01","102.03","97.8","95.97","97.9","94.3","100.79","98.01","96.33","97.9","93.1","96.54","89.39","97.4","95.69","94.04","94.29","96.06","92.16","92.33","99.63","95.05","60.33","101.44","85.58","94.57","93.96","92.4","92.58","93.09","90.01","99.01","91.85","92.41","89.27","93.84","88.78","94.48","93.77","93.69","89.02","93.86","85.66","0","0","0"
"11/2019","96.47","98.23","93.3",,"100.16","96.72","94.49","93.24","90.8","98.97","99.43","101.16","102.9","98.34","95.51","97.21","94.39","103.2","97.99","96.54","100.86","92.86","95.86","89.69","97.45","95.25","94.96","93.64","96.37","92.04","91.59","101.68","95.34","58.38","101.3","84.55","94.52","92.96","92.48","92.73","92.71","89.65","100.87","91.36","92.37","88.93","93.02","87.25","94.46","93.4","93.76","88.4","93.12","85.27","0","0","0"
"10/2019","96.51","98.25","93.36",,"100.49","96.49","94.54","93.47","90.72","99.88","99.76","102.18","102.12","98.14","94.21","97.63","94.3","103.81","97.62","96.49","99.18","92.6","95.76","91.42","97.62","95.31","94.78","93.72","96.17","92.01","91.71","101.41","95.59","58.38","102.76","83.63","95.37","93.09","92.61","92.94","91.98","89.38","102.08","91.36","92.33","88.73","93.41","86.95","94.3","93.54","93.71","88.32","92.68","85.18","0","0","0"
"09/2019","96.66","98.48","93.38",,"100.85","96.62","94.6","93.53","90.63","100.5","100.04","102.11","102.31","98.51","94.03","98.31","95.23","104.08","97.99","96.95","97.36","92.95","96.14","89.35","98.11","95.45","94.91","93.12","95.58","91.95","91.82","101.38","95.5","58.38","102.28","82.84","95.82","92.84","92.48","92.97","91.46","89.61","103.18","91.36","92.06","88.54","93.17","86.59","94.05","93.83","93.55","88.88","93.22","85.06","0","0","0"
"08/2019","97.01","99.11","93.19",,"101.57","97.2","94.43","93.22","90.53","100.95","101.23","102.5","103.46","99.02","94.07","100.14","95.21","105.37","99.05","96.76","97.24","91.91","97.39","90.89","98.06","95.42","94.78","92.29","94.74","91.85","90.84","101.48","95.24","59.64","102.44","82.59","94.09","92.83","92.56","93.06","91.69","89.54","104.22","91.41","91.87","88.16","93.31","86.24","94.12","94.34","93.62","88.75","92.58","85.04","0","0","0"
"07/2019","96.56","98.48","93.08",,"101.18","96.36","94.5","93","90.1","101.74","98.23","103.11","102.08","98.71","94.13","97.84","94.92","102.94","98.41","96.2","98.79","91.99","96.96","87.41","98.14","95.67","95.22","92.16","94.81","91.69","90.07","101.83","95.33","59.01","101.72","84.25","93.8","92.51","92.67","92.42","91.17","89.22","105.65","91.14","91.59","87.56","92.04","86.81","94.24","93.56","93.52","87.45","91.49","85.28","0","0","0"
"06/2019","95.54","97.08","92.75",,"99.47","95.22","94.22","92.67","89.67","99.35","98.31","102.41","99.54","97.89","93","97.29","93.77","101.56","94.94","94.71","96.8","90.38","96.19","91.13","98.16","95.44","94.21","92.05","94.16","90.93","90.38","102.93","95.01","58.96","101","81.12","92.48","92.21","92.42","92.35","91.54","89.24","106.69","90.54","91.6","87.08","91.57","86.44","93.75","93.66","93.43","86.5","90.33","85.16","0","0","0"
"05/2019","95.09","96.63","92.32",,"98.54","95.13","93.92","92.42","88.82","98.54","98.89","101.55","97.79","96.28","91.99","97.57","94.17","100.9","97.28","94.84","96.38","89.94","95.08","90.67","98.39","95.36","94.87","91.04","92.2","89.89","90.34","103.81","95.03","58.38","101.98","75.07","91.54","91.82","92.69","92.16","91.11","88.78","108.63","90.24","91.62","86.58","90.35","84.55","93.62","93.37","92.89","84.81","90.02","84.51","0","0","0"
"04/2019","95.34","97.27","91.85",,"99.19","95.77","93.62","91.63","88.23","100.86","96.3","100.93","98.52","96.02","92.39","99.23","93.71","101.73","100.23","94.68","95.97","89.75","95.8","91.3","98.19","95.69","93.92","91.05","90.98","89.26","88.71","103.79","95.66","58.38","102.3","74.69","88.63","92.2","92.36","91.91","91.14","87.29","109.41","89.94","91.53","85.76","89.81","84.57","93.58","92.27","92.93","81.78","89.43","84.19","0","0","0"
"03/2019","95.22","97.22","91.58",,"99.49","95.45","93.51","91.24","87.72","101.92","96.57","100.47","97.96","96.32","92.83","98.96","94.05","102.29","96.88","94.44","95.27","88.95","95.07","90.99","98.19","95.85","94.29","90.87","90.54","89.26","87.66","103.84","95.87","58.38","103.13","71.42","87.57","91.02","91.98","91.86","91.08","86.56","112.94","89.43","91.3","85.5","90.02","83.33","93.44","92.33","92.21","80.2","87.75","83.82","0","0","0"
"02/2019","94.06","95.59","91.29",,"98.04","93.68","93.34","90.64","87.43","99.41","94.6","100.22","97.49","96.11","91.9","94.98","92.52","99.03","99.67","92.13","93.71","87.72","93.68","87.62","98.01","96.02","94.77","90.67","89.73","88.92","86.19","102.51","94.74","58.38","102.97","74.51","86.5","90.97","90.57","91.68","90.9","85.91","112.39","89.3","90.76","85.24","89.41","82.97","92.9","92.77","92.15","80.44","87.05","83.71","0","0","0"
"01/2019","92.72","93.49","91.31",,"95.64","91.81","93.51","90.47","87.3","96.73","92.07","99.5","94.26","94.91","90.08","92.72","90.32","99.37","94.07","89.95","92.4","84.89","93.62","88.74","97.48","96.27","94.86","90.98","89.48","89.61","86.69","106.03","95.92","58.38","102.91","75.82","85.8","90.54","90.73","91.58","90.77","86.04","112.74","89.47","91.2","85.05","89.69","83.39","92.81","92.02","91.8","80.17","85.39","83.87","0","0","0"
"12/2018","90.67","90.36","91.24",,"91.57","89.41","93.56","90.3","87.04","92.37","86.27","96.36","91.33","90.73","89.24","91.81","86.45","94.57","92.57","87.69","89.86","83.32","90.19","82.78","97.89","95.91","95.59","90.59","88.3","89.54","86.14","107.65","94.77","58.38","104.21","75.81","85.61","90.34","90.79","91.3","90.39","85.26","112.75","89.1","92.04","84.67","88.91","82.84","93.01","90.97","92.52","80.13","85.94","83.91","0","0","0"
