fecha,año,mes,mes_nombre,insumo,indice,categoria
2019-04-01,2019,4,Abril,15-4-23,89.75,Fertilizante compuesto
2019-04-01,2019,4,Abril,17-6-18-2,93.71,Fertilizante compuesto
2019-04-01,2019,4,Abril,18-18-18,101.73,Fertilizante compuesto
2019-04-01,2019,4,Abril,25-4-24,99.23,Fertilizante compuesto
2019-04-01,2019,4,Abril,28-4-0-6,91.3,Fertilizante compuesto
2019-04-01,2019,4,Abril,31-8-8,100.23,Fertilizante compuesto
2019-04-01,2019,4,Abril,DAP 18-46,100.93,Fertilizante simple
2019-04-01,2019,4,Abril,KCL 0-0-60,98.52,Fertilizante simple
2019-04-01,2019,4,Abril,SAM,96.02,Fertilizante simple
2019-04-01,2019,4,Abril,Urea 46%,100.86,Fertilizante simple
2019-04-01,2019,4,Abril,Urea sulfato,96.3,Fertilizante simple
2019-04-01,2019,4,Abril,Azoxistrobin + difenoconazol,91.14,Fungicida
2019-04-01,2019,4,Abril,Clorotalonil,88.63,Fungicida
2019-04-01,2019,4,Abril,Difenoconazol,92.2,Fungicida
2019-04-01,2019,4,Abril,Dimetomorf,87.29,Fungicida
2019-04-01,2019,4,Abril,Mancozeb,92.36,Fungicida
2019-04-01,2019,4,Abril,Mancozeb + cimoxanil,91.91,Fungicida
2019-04-01,2019,4,Abril,Mancozeb + metalaxil-m,91.53,Fungicida
2019-04-01,2019,4,Abril,Propineb + fluopicolide,89.94,Fungicida
2019-04-01,2019,4,Abril,Tebuconazol + trifloxistrobin,109.41,Fungicida
2019-04-01,2019,4,Abril,"2,4-D",90.98,Herbicida
2019-04-01,2019,4,Abril,"2,4-D + picloram",91.05,Herbicida
2019-04-01,2019,4,Abril,"Aminopiralid + 2,4-D",89.26,Herbicida
2019-04-01,2019,4,Abril,Diuron,88.71,Herbicida
2019-04-01,2019,4,Abril,Glifosato,98.19,Herbicida
2019-04-01,2019,4,Abril,Glufosinato de amonio,103.79,Herbicida
2019-04-01,2019,4,Abril,Metsulfuron metil,102.3,Herbicida
2019-04-01,2019,4,Abril,Oxadiazon,58.38,Herbicida
2019-04-01,2019,4,Abril,Paraquat,95.69,Herbicida
2019-04-01,2019,4,Abril,Pendimetalin,74.69,Herbicida
2019-04-01,2019,4,Abril,Picloram,95.66,Herbicida
2019-04-01,2019,4,Abril,Propanil,93.92,Herbicida
2019-04-01,2019,4,Abril,Abamectina,92.27,Insecticida
2019-04-01,2019,4,Abril,Cipermetrina,89.43,Insecticida
2019-04-01,2019,4,Abril,Clorpirifos,85.76,Insecticida
2019-04-01,2019,4,Abril,Fipronil,89.81,Insecticida
2019-04-01,2019,4,Abril,Imidacloprid,92.93,Insecticida
2019-04-01,2019,4,Abril,Metomil,84.57,Insecticida
2019-04-01,2019,4,Abril,Profenofos,84.19,Insecticida
2019-04-01,2019,4,Abril,Profenofos + cipermetrina,81.78,Insecticida
2019-04-01,2019,4,Abril,Tiametoxam + lambdacihalotrina,93.58,Insecticida
2019-05-01,2019,5,Mayo,10-20-30,95.08,Fertilizante compuesto
2019-05-01,2019,5,Mayo,12-24-12,94.84,Fertilizante compuesto
2019-05-01,2019,5,Mayo,13-26-6,96.38,Fertilizante compuesto
2019-05-01,2019,5,Mayo,15-15-15,91.99,Fertilizante compuesto
2019-05-01,2019,5,Mayo,15-4-23,89.94,Fertilizante compuesto
2019-05-01,2019,5,Mayo,17-6-18-2,94.17,Fertilizante compuesto
2019-05-01,2019,5,Mayo,18-18-18,100.9,Fertilizante compuesto
2019-05-01,2019,5,Mayo,25-4-24,97.57,Fertilizante compuesto
2019-05-01,2019,5,Mayo,28-4-0-6,90.67,Fertilizante compuesto
2019-05-01,2019,5,Mayo,31-8-8,97.28,Fertilizante compuesto
2019-05-01,2019,5,Mayo,DAP 18-46,101.55,Fertilizante simple
2019-05-01,2019,5,Mayo,KCL 0-0-60,97.79,Fertilizante simple
2019-05-01,2019,5,Mayo,SAM,96.28,Fertilizante simple
2019-05-01,2019,5,Mayo,Urea 46%,98.54,Fertilizante simple
2019-05-01,2019,5,Mayo,Urea sulfato,98.89,Fertilizante simple
2019-05-01,2019,5,Mayo,Azoxistrobin + difenoconazol,91.11,Fungicida
2019-05-01,2019,5,Mayo,Clorotalonil,91.54,Fungicida
2019-05-01,2019,5,Mayo,Difenoconazol,91.82,Fungicida
2019-05-01,2019,5,Mayo,Dimetomorf,88.78,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb,92.69,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb + cimoxanil,92.16,Fungicida
2019-05-01,2019,5,Mayo,Mancozeb + metalaxil-m,91.62,Fungicida
2019-05-01,2019,5,Mayo,Propineb + fluopicolide,90.24,Fungicida
2019-05-01,2019,5,Mayo,Tebuconazol + trifloxistrobin,108.63,Fungicida
2019-05-01,2019,5,Mayo,"2,4-D",92.2,Herbicida
2019-05-01,2019,5,Mayo,"2,4-D + picloram",91.04,Herbicida
2019-05-01,2019,5,Mayo,"Aminopiralid + 2,4-D",89.89,Herbicida
2019-05-01,2019,5,Mayo,Diuron,90.34,Herbicida
2019-05-01,2019,5,Mayo,Glifosato,98.39,Herbicida
2019-05-01,2019,5,Mayo,Glufosinato de amonio,103.81,Herbicida
2019-05-01,2019,5,Mayo,Metsulfuron metil,101.98,Herbicida
2019-05-01,2019,5,Mayo,Oxadiazon,58.38,Herbicida
2019-05-01,2019,5,Mayo,Paraquat,95.36,Herbicida
2019-05-01,2019,5,Mayo,Pendimetalin,75.07,Herbicida
2019-05-01,2019,5,Mayo,Picloram,95.03,Herbicida
2019-05-01,2019,5,Mayo,Propanil,94.87,Herbicida
2019-05-01,2019,5,Mayo,Abamectina,93.37,Insecticida
2019-05-01,2019,5,Mayo,Cipermetrina,90.02,Insecticida
2019-05-01,2019,5,Mayo,Clorpirifos,86.58,Insecticida
2019-05-01,2019,5,Mayo,Fipronil,90.35,Insecticida
2019-05-01,2019,5,Mayo,Imidacloprid,92.89,Insecticida
2019-05-01,2019,5,Mayo,Metomil,84.55,Insecticida
2019-05-01,2019,5,Mayo,Profenofos,84.51,Insecticida
2019-05-01,2019,5,Mayo,Profenofos + cipermetrina,84.81,Insecticida
2019-05-01,2019,5,Mayo,Tiametoxam + lambdacihalotrina,93.62,Insecticida
2019-06-01,2019,6,Junio,10-20-30,96.19,Fertilizante compuesto
2019-06-01,2019,6,Junio,12-24-12,94.71,Fertilizante compuesto
2019-06-01,2019,6,Junio,13-26-6,96.8,Fertilizante compuesto
2019-06-01,2019,6,Junio,15-15-15,93.0,Fertilizante compuesto
2019-06-01,2019,6,Junio,15-4-23,90.38,Fertilizante compuesto
2019-06-01,2019,6,Junio,17-6-18-2,93.77,Fertilizante compuesto
2019-06-01,2019,6,Junio,18-18-18,101.56,Fertilizante compuesto
2019-06-01,2019,6,Junio,25-4-24,97.29,Fertilizante compuesto
2019-06-01,2019,6,Junio,28-4-0-6,91.13,Fertilizante compuesto
2019-06-01,2019,6,Junio,31-8-8,94.94,Fertilizante compuesto
2019-06-01,2019,6,Junio,DAP 18-46,102.41,Fertilizante simple
2019-06-01,2019,6,Junio,KCL 0-0-60,99.54,Fertilizante simple
2019-06-01,2019,6,Junio,SAM,97.89,Fertilizante simple
2019-06-01,2019,6,Junio,Urea 46%,99.35,Fertilizante simple
2019-06-01,2019,6,Junio,Urea sulfato,98.31,Fertilizante simple
2019-06-01,2019,6,Junio,Azoxistrobin + difenoconazol,91.54,Fungicida
2019-06-01,2019,6,Junio,Clorotalonil,92.48,Fungicida
2019-06-01,2019,6,Junio,Difenoconazol,92.21,Fungicida
2019-06-01,2019,6,Junio,Dimetomorf,89.24,Fungicida
2019-06-01,2019,6,Junio,Mancozeb,92.42,Fungicida
2019-06-01,2019,6,Junio,Mancozeb + cimoxanil,92.35,Fungicida
2019-06-01,2019,6,Junio,Mancozeb + metalaxil-m,91.6,Fungicida
2019-06-01,2019,6,Junio,Propineb + fluopicolide,90.54,Fungicida
2019-06-01,2019,6,Junio,Tebuconazol + trifloxistrobin,106.69,Fungicida
2019-06-01,2019,6,Junio,"2,4-D",94.16,Herbicida
2019-06-01,2019,6,Junio,"2,4-D + picloram",92.05,Herbicida
2019-06-01,2019,6,Junio,"Aminopiralid + 2,4-D",90.93,Herbicida
2019-06-01,2019,6,Junio,Diuron,90.38,Herbicida
2019-06-01,2019,6,Junio,Glifosato,98.16,Herbicida
2019-06-01,2019,6,Junio,Glufosinato de amonio,102.93,Herbicida
2019-06-01,2019,6,Junio,Metsulfuron metil,101.0,Herbicida
2019-06-01,2019,6,Junio,Oxadiazon,58.96,Herbicida
2019-06-01,2019,6,Junio,Paraquat,95.44,Herbicida
2019-06-01,2019,6,Junio,Pendimetalin,81.12,Herbicida
2019-06-01,2019,6,Junio,Picloram,95.01,Herbicida
2019-06-01,2019,6,Junio,Propanil,94.21,Herbicida
2019-06-01,2019,6,Junio,Abamectina,93.66,Insecticida
2019-06-01,2019,6,Junio,Cipermetrina,90.33,Insecticida
2019-06-01,2019,6,Junio,Clorpirifos,87.08,Insecticida
2019-06-01,2019,6,Junio,Fipronil,91.57,Insecticida
2019-06-01,2019,6,Junio,Imidacloprid,93.43,Insecticida
2019-06-01,2019,6,Junio,Metomil,86.44,Insecticida
2019-06-01,2019,6,Junio,Profenofos,85.16,Insecticida
2019-06-01,2019,6,Junio,Profenofos + cipermetrina,86.5,Insecticida
2019-06-01,2019,6,Junio,Tiametoxam + lambdacihalotrina,93.75,Insecticida
2019-07-01,2019,7,Julio,10-20-30,96.96,Fertilizante compuesto
2019-07-01,2019,7,Julio,12-24-12,96.2,Fertilizante compuesto
2019-07-01,2019,7,Julio,13-26-6,98.79,Fertilizante compuesto
2019-07-01,2019,7,Julio,15-15-15,94.13,Fertilizante compuesto
2019-07-01,2019,7,Julio,15-4-23,91.99,Fertilizante compuesto
2019-07-01,2019,7,Julio,17-6-18-2,94.92,Fertilizante compuesto
2019-07-01,2019,7,Julio,18-18-18,102.94,Fertilizante compuesto
2019-07-01,2019,7,Julio,25-4-24,97.84,Fertilizante compuesto
2019-07-01,2019,7,Julio,28-4-0-6,87.41,Fertilizante compuesto
2019-07-01,2019,7,Julio,31-8-8,98.41,Fertilizante compuesto
2019-07-01,2019,7,Julio,DAP 18-46,103.11,Fertilizante simple
2019-07-01,2019,7,Julio,KCL 0-0-60,102.08,Fertilizante simple
2019-07-01,2019,7,Julio,SAM,98.71,Fertilizante simple
2019-07-01,2019,7,Julio,Urea 46%,101.74,Fertilizante simple
2019-07-01,2019,7,Julio,Urea sulfato,98.23,Fertilizante simple
2019-07-01,2019,7,Julio,Azoxistrobin + difenoconazol,91.17,Fungicida
2019-07-01,2019,7,Julio,Clorotalonil,93.8,Fungicida
2019-07-01,2019,7,Julio,Difenoconazol,92.51,Fungicida
2019-07-01,2019,7,Julio,Dimetomorf,89.22,Fungicida
2019-07-01,2019,7,Julio,Mancozeb,92.67,Fungicida
2019-07-01,2019,7,Julio,Mancozeb + cimoxanil,92.42,Fungicida
2019-07-01,2019,7,Julio,Mancozeb + metalaxil-m,91.59,Fungicida
2019-07-01,2019,7,Julio,Propineb + fluopicolide,91.14,Fungicida
2019-07-01,2019,7,Julio,Tebuconazol + trifloxistrobin,105.65,Fungicida
2019-07-01,2019,7,Julio,"2,4-D",94.81,Herbicida
2019-07-01,2019,7,Julio,"2,4-D + picloram",92.16,Herbicida
2019-07-01,2019,7,Julio,"Aminopiralid + 2,4-D",91.69,Herbicida
2019-07-01,2019,7,Julio,Diuron,90.07,Herbicida
2019-07-01,2019,7,Julio,Glifosato,98.14,Herbicida
2019-07-01,2019,7,Julio,Glufosinato de amonio,101.83,Herbicida
2019-07-01,2019,7,Julio,Metsulfuron metil,101.72,Herbicida
2019-07-01,2019,7,Julio,Oxadiazon,59.01,Herbicida
2019-07-01,2019,7,Julio,Paraquat,95.67,Herbicida
2019-07-01,2019,7,Julio,Pendimetalin,84.25,Herbicida
2019-07-01,2019,7,Julio,Picloram,95.33,Herbicida
2019-07-01,2019,7,Julio,Propanil,95.22,Herbicida
2019-07-01,2019,7,Julio,Abamectina,93.56,Insecticida
2019-07-01,2019,7,Julio,Cipermetrina,91.49,Insecticida
2019-07-01,2019,7,Julio,Clorpirifos,87.56,Insecticida
2019-07-01,2019,7,Julio,Fipronil,92.04,Insecticida
2019-07-01,2019,7,Julio,Imidacloprid,93.52,Insecticida
2019-07-01,2019,7,Julio,Metomil,86.81,Insecticida
2019-07-01,2019,7,Julio,Profenofos,85.28,Insecticida
2019-07-01,2019,7,Julio,Profenofos + cipermetrina,87.45,Insecticida
2019-07-01,2019,7,Julio,Tiametoxam + lambdacihalotrina,94.24,Insecticida
2019-08-01,2019,8,Agosto,10-20-30,97.39,Fertilizante compuesto
2019-08-01,2019,8,Agosto,12-24-12,96.76,Fertilizante compuesto
2019-08-01,2019,8,Agosto,13-26-6,97.24,Fertilizante compuesto
2019-08-01,2019,8,Agosto,15-15-15,94.07,Fertilizante compuesto
2019-08-01,2019,8,Agosto,15-4-23,91.91,Fertilizante compuesto
2019-08-01,2019,8,Agosto,17-6-18-2,95.21,Fertilizante compuesto
2019-08-01,2019,8,Agosto,18-18-18,105.37,Fertilizante compuesto
2019-08-01,2019,8,Agosto,25-4-24,100.14,Fertilizante compuesto
2019-08-01,2019,8,Agosto,28-4-0-6,90.89,Fertilizante compuesto
2019-08-01,2019,8,Agosto,31-8-8,99.05,Fertilizante compuesto
2019-08-01,2019,8,Agosto,DAP 18-46,102.5,Fertilizante simple
2019-08-01,2019,8,Agosto,KCL 0-0-60,103.46,Fertilizante simple
2019-08-01,2019,8,Agosto,SAM,99.02,Fertilizante simple
2019-08-01,2019,8,Agosto,Urea 46%,100.95,Fertilizante simple
2019-08-01,2019,8,Agosto,Urea sulfato,101.23,Fertilizante simple
2019-08-01,2019,8,Agosto,Azoxistrobin + difenoconazol,91.69,Fungicida
2019-08-01,2019,8,Agosto,Clorotalonil,94.09,Fungicida
2019-08-01,2019,8,Agosto,Difenoconazol,92.83,Fungicida
2019-08-01,2019,8,Agosto,Dimetomorf,89.54,Fungicida
